organization,type,official_channel,contact,priority,request_focus,status
IEEE SIGHT,email,Official public email,sight@ieee.org,High,"Partnership, mentoring, IEEE SIGHT group guidance, Tech4Good opportunities",Ready for Gmail draft
IEEE Tech4Good,email,Official program email,tech4good@ieee.org,High,"Tech4Good funding guidance, technical mentorship, youth technology projects",Ready for Gmail draft
IEEE Humanitarian Technologies,form,Official contact form,https://ieeeht.org/contact/,High,"Partnership collaboration, funding opportunities, humanitarian technology programs",Use form
Microsoft for Nonprofits,form,Official nonprofit support form,https://aka.ms/NGOSupportForm,High,"Microsoft Learn, Azure nonprofit grant, Microsoft 365 nonprofit offers, AI training, certification vouchers",Use form
Google for Nonprofits,form,Official support form,https://support.google.com/nonprofits/contact/contact_us?hl=en,High,"Google for Nonprofits eligibility in Jordan, Workspace, Ad Grants, Maps, YouTube, Google Cloud learning support",Use form
Google for Nonprofits Eligibility,application,Official eligibility page,https://www.google.com/nonprofits/eligibility/,High,"Check Jordan eligibility and start application",Use application
AWS Public Sector Nonprofits,form,Official AWS contact form,https://aws.amazon.com/government-education/contact,Medium,"AWS nonprofit credits, cloud training, workshops, youth technical projects",Use form
AWS Nonprofit Credit Program,application,Official credit program,https://aws.amazon.com/government-education/nonprofits/nonprofit-credit-program/,Medium,"Up to AWS promotional credits for eligible nonprofits",Use application
IBM SkillsBuild,form,Official partner/contact page,https://skillsbuild.org/contact,Medium,"Free courses, digital credentials, partner access for youth learners",Use form
IBM SkillsBuild Partners,application,Official partner page,https://skillsbuild.org/organizations-supporting-adult-learners/partners,Medium,"Partner application for organizations supporting learners",Use application
Cisco Networking Academy,form,Official program page,https://www.cisco.com/c/m/en_sg/partners/cisco-networking-academy/index.html,Medium,"Networking, cybersecurity, Python, digital skills courses",Use program page
